"Subj","Block","Trial","RT","Cond","stimuli","direction","AlignedVAR","UnalignedVAR"
"10","10","10","1023","Animal","ladybug03","Left",1847.45854969058,1235.49123652907
"10","10","10","922","Animal","cow","Left",86.7484545486213,168.640937210855
"10","10","10","971","Animal","seal","Left",772.918645831983,858.623441876278
"10","10","10","1021","Tool","umbrella04","Right",1181.76000278705,1063.2818513165
"10","10","10","855","Tool","flashlight02b","Right",498.708286891425,741.863961556285
"10","10","10","1640","Tool","icescraper","Left",2029.97152462716,1967.2091211346
"10","10","10","1604","Tool","whisk","Right",25.1542407862003,74.2649904366665
"10","10","10","1705","Tool","paintroller01","Left",28.5196459996812,188.965536100852
"10","10","10","872","Tool","hammer01","Right",2137.12795552262,2479.27675600209
"10","10","10","3022","Tool","peeler01","Left",28.2049307301214,144.288262239503
"10","10","10","1256","Tool","pipewrench","Right",100.995834536366,125.977928769844
"10","10","10","1139","Tool","fryingpan02a","Right",13.0024791133588,247.622254667231
"10","10","10","1489","Tool","curlingiron01a","Right",1969.03858453694,2263.50783518163
"10","10","10","1156","Tool","screwdriver04b","Right",673.026148745825,785.725977550825
"10","10","10","1138","Tool","squeegee01b","Right",11.3128800432724,39.5805968609834
"10","10","10","1105","Tool","racquetballracket","Left",161.82190044018,107.365463141214
"10","10","10","2838","Tool","ladle02a","Right",61.2329978737488,89.3718050676009
"10","10","10","1239","Tool","cleaver02","Left",1266.16385798625,1877.0223004379
"10","10","10","3089","Tool","servingspoon01","Right",38.1510823853286,41.8972295661609
"10","10","10","1507","Tool","lintbrush","Left",1437.19142517241,1913.65555432905
"10","10","10","1394","Tool","chisel02b","Right",1008.86605888778,1297.49099422808
"10","10","10","1637","Tool","bottleopener01","Right",14.8935720136672,48.8078534360063
"10","10","10","2307","Tool","comb02a","Right",10.9283393649983,5.82888542748695
"10","10","10","1906","Tool","tongs01b","Left",19.297763961751,66.1522349425557
"10","10","10","1691","Tool","file","Left",30.4345604750031,222.810315471638
"10","10","10","1022","Tool","metalbrush","Left",437.697967339301,412.541404095624
"10","10","10","1205","Tool","machete","Right",1731.19887197543,2306.54277786626
"10","10","10","1055","Tool","boxcutter03a","Left",1673.91813681564,1754.99520670957
"10","10","10","971","Tool","adjustablewrench01b","Right",27.309568543998,36.1816215709136
"10","10","10","1255","Tool","magnifyingglass01b","Right",124.006304319788,231.25647875201
"10","10","10","5","Tool","electrictoothbrush01c","Left",705.470375590889,750.546806714777
"10","10","10","489","Tool","spatula03","Left",1136.88760654563,3190.95359050695
"10","10","10","55","Tool","paintbrush01","Right",1256.01778661913,1391.76740791468
"10","10","10","2122","Tool","oneholepunch","Right",7.35131671433897,171.608032898601
"10","10","10","1505","Tool","barbecuelighter","Left",2050.4766999422,2548.66749005381
"10","10","10","2222","Tool","toiletbrush","Left",138.031331123751,168.541985238286
"10","10","10","1588","Tool","lintroller","Left",116.179528221971,131.55645972384
"10","10","10","1505","Tool","badmintonracket","Left",2168.5797016303,2195.96732407723
"10","10","10","1008","Tool","huntingknife","Left",2239.12813627637,2399.45231351828
"10","10","10","2155","Tool","woodenspoon","Left",25.6582674091506,267.069922370117
"10","10","10","1372","Tool","garlicpress02a","Left",173.534794985142,171.827751683056
"10","10","10","1258","Tool","sieve01b","Left",75.7963126689426,72.6258069281257
"10","10","10","1156","Tool","handbrush02","Right",748.629711517809,732.314048072583
"10","10","10","1239","Tool","breadknife","Left",1356.91204979726,1106.94738487404
"10","10","10","1456","Tool","spatula04","Right",36.0617386765129,92.17013076427
"10","10","10","1454","Tool","pliers02b","Left",1105.50869097957,831.450051519935
"10","10","10","1290","Tool","gavel","Left",50.8666136690963,99.1491817286762
"10","10","10","1075","Tool","mallet01b","Left",169.602110138756,218.187547329706
"10","10","10","955","Animal","bluejay","Left",211.534838191575,134.580500064429
"10","10","10","874","Animal","platypus","Right",2330.63917722896,1577.682739356
"10","10","10","838","Animal","rooster","Right",666.757869392597,434.165136562324
"10","10","10","1171","Animal","ladybug03","Right",2414.00488648251,1631.74052859938
"10","10","10","1254","Animal","dromedary","Right",159.627931173162,97.6516722815882
"10","10","10","873","Animal","toucan","Right",1996.53518563357,1463.86948081376
"10","10","10","805","Animal","pig","Left",18.696757045496,14.5653895148869
"10","10","10","888","Animal","barnowl","Right",307.096624995391,287.048826238053
"10","10","10","955","Animal","greywolf","Left",27.1712555650755,61.363792230124
"10","10","10","905","Animal","skunk","Right",1915.48260166318,1601.97328115245
"10","10","10","856","Animal","peacock","Right",643.881429608403,617.861096835331
"10","10","10","921","Animal","asianelephant","Left",84.5375834898558,334.891943780128
"10","10","10","1087","Animal","cedarwaxwing","Right",18.7296192083754,17.294132291131
"10","10","10","1022","Animal","parrot01","Right",406.258192971614,374.102496086815
"10","10","10","1155","Animal","seaturtle","Left",8.08194420994682,20.5870506295298
"10","10","10","1188","Animal","pigeon","Left",455.794342549753,406.743442175473
"10","10","10","1105","Animal","swordfish","Left",85.2230436377282,53.9496339051822
"10","10","10","1289","Animal","americangoldfinch","Right",55.6882842235861,133.722696107569
"10","10","10","923","Animal","tiger02","Left",103.27965407658,91.8479532479025
"10","10","10","922","Animal","cat","Right",114.698904810702,108.604841431578
"10","10","10","854","Animal","polarbear","Right",655.822213203089,571.051560981831
